27626, the Ville, artist's co-living space, Latoya Williams's room
27636, the Ville, artist's co-living space, Latoya Williams's bathroom
27646, the Ville, artist's co-living space, Rajiv Patel's room
27656, the Ville, artist's co-living space, Rajiv Patel's bathroom
27666, the Ville, artist's co-living space, Abigail Chen's room
27676, the Ville, artist's co-living space, Abigail Chen's bathroom
27686, the Ville, artist's co-living space, Francisco Lopez's room
27627, the Ville, artist's co-living space, Francisco Lopez's bathroom
27637, the Ville, artist's co-living space, Hailey Johnson's room
27647, the Ville, artist's co-living space, Hailey Johnson's bathroom
27667, the Ville, artist's co-living space, common room
27677, the Ville, artist's co-living space, kitchen
27687, the Ville, Arthur Burton's house, main room
27628, the Ville, Arthur Burton's house, bathroom
27638, the Ville, Arthur Burton's house, kitchen
27648, the Ville, Arthur Burton's house, living room
27658, the Ville, Isabella Rodriguez's house, main room
27668, the Ville, Isabella Rodriguez's house, bathroom
27678, the Ville, Isabella Rodriguez's house, kitchen
27688, the Ville, Giorgio Rossi's house, bathroom
27629, the Ville, Carlos Gomez's house, main room
27639, the Ville, Carlos Gomez's house, bathroom
27649, the Ville, The Rose and Crown Pub, pub
27659, the Ville, Hobbs Cafe, cafe
27669, the Ville, Public Restroom, toilet
27679, the Ville, Oak Hill College, library
27689, the Ville, Oak Hill College, hallway
27630, the Ville, Johnson Park, park
27640, the Ville, Harvey Oak Supply Store, supply store
27650, the Ville, The Willows Market and Pharmacy, store
27681, the Ville, Adam Smith's house, main room
27691, the Ville, Adam Smith's house, bathroom
27662, the Ville, Yuriko Yamamoto's house, main room
27672, the Ville, Yuriko Yamamoto's house, bathroom
27682, the Ville, Yuriko Yamamoto's house, kitchen
27692, the Ville, Yuriko Yamamoto's house, living room
27660, the Ville, Dorm for Oak Hill College, Klaus Mueller's room
27670, the Ville, Dorm for Oak Hill College, Maria Lopez's room
27680, the Ville, Dorm for Oak Hill College, Ayesha Khan's room
27690, the Ville, Dorm for Oak Hill College, Wolfgang Schulz's room
27631, the Ville, Dorm for Oak Hill College, man's bathroom
27641, the Ville, Dorm for Oak Hill College, woman's bathroom
27651, the Ville, Dorm for Oak Hill College, common room
27661, the Ville, Dorm for Oak Hill College, kitchen
27671, the Ville, Dorm for Oak Hill College, garden
27693, the Ville, Tamara Taylor and Carmen Ortiz's house, Tamara Taylor's room
27703, the Ville, Tamara Taylor and Carmen Ortiz's house, Carmen Ortiz's room
27713, the Ville, Tamara Taylor and Carmen Ortiz's house, common room
27723, the Ville, Tamara Taylor and Carmen Ortiz's house, kitchen
27733, the Ville, Tamara Taylor and Carmen Ortiz's house, bathroom
27743, the Ville, Tamara Taylor and Carmen Ortiz's house, garden
27753, the Ville, Moreno family's house, Tom and Jane Moreno's bedroom
27763, the Ville, Moreno family's house, empty bedroom
27694, the Ville, Moreno family's house, common room
27704, the Ville, Moreno family's house, kitchen
27714, the Ville, Moreno family's house, bathroom
27724, the Ville, Moreno family's house, garden
27734, the Ville, Lin family's house, Mei and John Lin's bedroom
27744, the Ville, Lin family's house, Eddy Lin's bedroom
27754, the Ville, Lin family's house, common room
27764, the Ville, Lin family's house, kitchen
27695, the Ville, Lin family's house, bathroom
27705, the Ville, Lin family's house, garden
